Date,Close,log_return
2016-04-19,2100.8,0.0030797566260183373
2016-04-20,2102.4,0.0007613247417594948
2016-04-21,2091.48,-0.0052075999687009045
2016-04-22,2091.58,4.781188891378463e-05
2016-04-25,2087.79,-0.001813670978593862
2016-04-26,2091.7,0.0018710422279637484
2016-04-27,2095.15,0.0016480173786206365
2016-04-28,2075.81,-0.009273710899119436
2016-04-29,2065.3,-0.005075944645771102
2016-05-02,2081.43,0.00777966318189538
2016-05-03,2063.37,-0.00871458902512412
2016-05-04,2051.12,-0.005954583044667672
2016-05-05,2050.63,-0.00023892241230250022
2016-05-06,2057.14,0.0031696056255201555
2016-05-09,2058.69,0.0007531895502363994
2016-05-10,2084.39,0.012406388310732375
2016-05-11,2064.46,-0.009607555492817887
2016-05-12,2064.11,-0.00016955023208442555
2016-05-13,2046.61,-0.008514374961630544
2016-05-16,2066.66,0.009749011760057158
2016-05-17,2047.21,-0.009455886999175434
2016-05-18,2047.63,0.00020513622093787376
2016-05-19,2040.04,-0.0037136112860123305
2016-05-20,2052.32,0.006001445062372213
2016-05-23,2048.04,-0.002087622332874517
2016-05-24,2076.06,0.013588628383570445
2016-05-25,2090.54,0.00695053918975308
2016-05-26,2090.1,-0.00021049408780715595
2016-05-27,2099.06,0.004277713748401801
2016-05-31,2096.96,-0.0010009486014519453
2016-06-01,2099.33,0.001129569334814562
2016-06-02,2105.26,0.0028207287425612293
2016-06-03,2099.13,-0.002916001771314569
2016-06-06,2109.41,0.0048853143586375936
2016-06-07,2112.13,0.00128862944631436
2016-06-08,2119.12,0.003303991188785993
2016-06-09,2115.48,-0.0017191710652788572
2016-06-10,2096.07,-0.00921757425582026
2016-06-13,2079.06,-0.008148294359402009
2016-06-14,2075.32,-0.0018005098283602194
2016-06-15,2071.5,-0.0018423761246140202
2016-06-16,2077.99,0.003128097810598973
2016-06-17,2071.22,-0.0032632746994192274
2016-06-20,2083.25,0.005791368633680349
2016-06-21,2088.9,0.0027084373542942686
2016-06-22,2085.45,-0.0016529523329484874
2016-06-23,2113.32,0.013275511311332089
2016-06-24,2037.41,-0.036580777234719086
2016-06-27,2000.54,-0.018262249261632668
2016-06-28,2036.09,0.017614157916988837
2016-06-29,2070.77,0.016889216752452363
2016-06-30,2098.86,0.013473821400287633
2016-07-01,2102.95,0.0019467806929593934
2016-07-05,2088.55,-0.0068710755834286985
2016-07-06,2099.73,0.005338719739026665
2016-07-07,2097.9,-0.0008719206389979917
2016-07-08,2129.9,0.015138185866623743
2016-07-11,2137.16,0.003402814586803693
2016-07-12,2152.14,0.006984851096364153
2016-07-13,2152.43,0.00013474052016348992
2016-07-14,2163.75,0.005245391042532965
2016-07-15,2161.74,-0.0009293745423875066
2016-07-18,2166.89,0.0023795068786034435
2016-07-19,2163.78,-0.0014362676143067077
2016-07-20,2173.02,0.004261212867369579
2016-07-21,2165.17,-0.003619024785839642
2016-07-22,2175.03,0.004543577237250851
2016-07-25,2168.48,-0.003015996263402876
2016-07-26,2169.18,0.00032275466775910644
2016-07-27,2166.58,-0.0011993285198670378
2016-07-28,2170.06,0.001604929506244801
2016-07-29,2173.6,0.0016299621902948758
2016-08-01,2170.84,-0.0012705897060660831
2016-08-02,2157.03,-0.006381913907791414
2016-08-03,2163.79,0.0031290382452997534
2016-08-04,2164.25,0.00021256735230323898
2016-08-05,2182.87,0.008566643604324575
2016-08-08,2180.89,-0.0009074743505044225
2016-08-09,2181.74,0.00038967320664617944
2016-08-10,2175.49,-0.00286879705062848
2016-08-11,2185.79,0.004723392742399746
2016-08-12,2184.05,-0.0007963678724891565
2016-08-15,2190.15,0.0027890832400512267
2016-08-16,2178.15,-0.00549414197082676
2016-08-17,2182.22,0.0018668145969238381
2016-08-18,2187.02,0.0021971793405901607
2016-08-19,2183.87,-0.0014413542987101735
2016-08-22,2182.64,-0.0005633790063610533
